component,explained_variance_ratio,cumulative_explained_variance
1,0.19987471872487633,0.19987471872487633
2,0.1548644128905225,0.35473913161539883
3,0.14958878570475148,0.5043279173201503
4,0.03511159969233518,0.5394395170124855
5,0.07478777229728954,0.614227289309775
6,0.08441675804827778,0.6986440473580527
7,0.026508122992580135,0.7251521703506328
8,0.017715195849471888,0.7428673662001047
9,0.017419868169715535,0.7602872343698203
10,0.01616322122391138,0.7764504555937316
11,0.01532599191701667,0.7917764475107483
12,0.013209001151827257,0.8049854486625755
13,0.011308050417986213,0.8162934990805617
14,0.010493550827657253,0.8267870499082189
15,0.008862596166289104,0.8356496460745081
16,0.008569221287964873,0.844218867362473
17,0.008230309094407015,0.85244917645688
18,0.008141806704503353,0.8605909831613834
19,0.006348066286862611,0.866939049448246
20,0.006053564900475532,0.8729926143487214
21,0.005818339566551048,0.8788109539152725
22,0.0055536582463385185,0.884364612161611
23,0.005297323347590818,0.8896619355092018
24,0.005199536524259126,0.8948614720334609
25,0.005087773583039856,0.8999492456165008
26,0.004626281908988772,0.9045755275254895
27,0.003886755649272063,0.9084622831747616
28,0.0037400635670800995,0.9122023467418418
29,0.003601042348175444,0.9158033890900172
30,0.0028506118801968163,0.9186540009702141
31,0.0022507543332979498,0.920904755303512
32,0.0020456727145102783,0.9229504280180223
33,0.002013076208658856,0.9249635042266812
34,0.0019865314655966434,0.9269500356922779
35,0.0019166889997381078,0.9288667246920159
36,0.0018166736259743839,0.9306833983179903
37,0.0017155116342474927,0.9323989099522378
38,0.0016046617051958683,0.9340035716574338
39,0.0015162886354258128,0.9355198602928596
40,0.001377852104426853,0.9368977123972865
41,0.0012710034508436922,0.9381687158481302
42,0.0012268092084443557,0.9393955250565745
43,0.0011187460950384666,0.940514271151613
44,0.0011065973182142336,0.9416208684698273
45,0.0010766048609888504,0.9426974733308161
46,0.0010476925935164769,0.9437451659243326
47,0.0010447982429088677,0.9447899641672414
48,0.0010301654420815163,0.9458201296093229
49,0.0010231626876811872,0.9468432922970041
50,0.0010055162475302237,0.9478488085445343
